sl_no,brand,composition,mrp,ptr
1,D GOOD,Vitamin D3 oral solution 60000  IU/5 ml,90.0,64.0
2,17) Daily Solo Syrup,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics",,
3,COLONEZ  PEG,Polyethylene Glycol 3350 USP 13.125g,350.0,250.0
4,DE SATURATE,"Potassium Citrate 1100mg ,Magnesium Citrate 375 mg & Vitamin B6 20 mg / 5ml Oral Solution",,
5,"PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",Lysine,,
6,TUSNORM,"XT -Acebrophylline 50mg, Guaiphenesin 50mg, Terbutaline 12.5mg/5ml syrup",,
7,TUSNORM L SYP,Levosalbutamol  1mg + Ambroxol 30mg+ Guaiphensin 50mg/5ml syrup,,
8,"15) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata","25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins",,
9,16) Myotizer,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin",,
10,"CALVNH -Elemental Ca- 500 mg+ Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",20mg Tablets,,
11,ESMOFRESH,Esomeprazole Gastro-Resistant Tablets IP 40 mg,120.0,86.0
12,ESMOFRESH DSR,Esomeprazole 40mg & Sustained release Domperidone 30mg Capsules,140.0,100.0
13,JIOMAX D3,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg Capsules",220.0,157.0
14,TUBER FORTE,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets",190.0,136.0
15,"WINHANCE TAB-Benfotiamine 200 mg, Methylcobalamin 1000 nano gram , Alpha Lipoic Acid 200 mg, Folic acid 1.5 mg, Chromium Picolinate 200 mcg, D Chiro inositol 13.8mg,  Myo","Inositol 100 mg & Pyridoxine Hydrochloride 3 mg Tablets, Vitamin D3 600 IU",250.0,179.0
16,Zanoflex,Ofloxacin 400mg Tablets,,
17,16) D GOOD,Vitamin D3 oral solution 60000  IU/5 ml,90.0,64.0
18,11) COLANESE PEG,Polyethylene glycol 3350 USP 13.125g,,
19,12) COLANESE PEG,Polyethylene Glycol 4000 IP 10g,,
20,13) DE SATURATE,"Potassium Citrate 1100mg ,Magnesium Citrate 375 mg & Vitamin B6 20 mg / 5ml Oral Solution",,
21,"14) PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",Lysine,,
22,15) Daily Solo Syrup,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics",,
23,1) LAMINIF 100ML,"L Arginine 3g, Vitamin C  40mg, Vitamin E 10mg, Vit B6 2mg, Folic Acid 120mcg, Vitamin B12 1mcg, Zinc 10 mg per 15 ml",,
24,"10) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata","25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins",,
25,2) LAMINIF 210ML,"L Arginine 3g, Vitamin C  40mg, Vitamin E 10mg, Vit B6 2mg, Folic Acid 120mcg, Vitamin B12 1mcg, Zinc 10 mg per 15 ml",,
26,3) GF -18 Tablets,"Myo-Inositol (40:1) 1100mg , D-Chiro Inositol (40:1) 27.6 mg, Ubiquinone (Coenzyme Q10) 100 mg,Astaxanthin 1mg,L-Carnitine L-Tartrate 50mg,L-Arginine 10mg,  Melatonin 2mg, Berberine 50mg Lecithin 2mg,Quatrefolic Acid 51 mcg tablets",,
27,"4) CALVNH TAB-Elemental Ca- 500 mg, Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",20mg,300.0,215.0
28,5) JIOMAX D3,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg capsules",220.0,157.0
29,6) MIGRACE,"Magnesium oxide,Coenzyme Q10 & Riboflavin  Tablets",280.0,200.0
30,7) TUBER FORTE,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets",190.0,136.0
31,8) ESMOFRESH,Esomeprazole gastro-resistant tablets IP 40 mg,120.0,86.0
32,9) ESMOFRESH DSR,Esomeprazole 40mg & Sustained release Domperidone 30mg capsules,140.0,100.0
33,18) COLANESE PEG,Polyethylene glycol 3350 USP 13.125g,,
34,19) COLANESE PEG,Polyethylene Glycol 4000 IP 10g,,
35,"21) PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",Lysine,,
36,22) Daily Solo Syrup,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics",,
37,Nano Shots - 22 )  D GOOD,Vitamin D3 oral solution 60000  IU/5 ml,,
38,1) TUFGABA GAT,Gabapentin & Amitriptyline tablets,250.0,179.0
39,10) Myotizer,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin",,
40,"11) CALVNH TAB-Elemental Ca- 500 mg+ Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",20mg,300.0,215.0
41,12) JIOMAX D3,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg capsules",220.0,157.0
42,13) TUBER FORTE,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU tablets",190.0,136.0
43,14) ESMOFRESH,Esomeprazole gastro-resistant tablets IP 40 mg,120.0,86.0
44,15) ESMOFRESH DSR,Esomeprazole 40mg & Sustained release Domperidone 30mg capsules,140.0,100.0
45,16) Palminorm,"Palmitoylethanolamide 300 mg, Daidzein 50 mg, Genistein 4 mg Tablets",250.0,167.5
46,"17) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata","25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins",,
47,2) TUFGABA NT 100,Gabapentin 100 mg & Nortriptyline 10 mg tablets,160.0,114.0
48,20) Myotizer,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin",,
49,3) TUFGABA NT 200,Gabapentin 100 mg & Nortriptyline 10 mg tablets,170.0,122.0
50,4) Tufgaba NT 400,"Gabapentin 400 mg , Nortriptyline 10 mg",330.0,236.0
51,5) Tufgaba GAT,"Gabapentin 300 mg , Amitriptyline 10 mg",250.0,179.0
52,6) TUFGABA 100,Gabapentin 100 mg,100.0,72.0
53,7) MIGRACE,"Magnesium oxide,Coenzyme Q10 & Riboflavin  Tablets",280.0,200.0
54,8) VESTINE,Duloxetine 20mg tablets,139.0,99.38
55,"9) WINHANCE TAB-Benfotiamine 200 mg, Methylcobalamin 1000 nano gram , Alpha Lipoic Acid 200 mg, Folic acid 1.5 mg, Chromium Picolinate 200 mcg, D Chiro inositol 13.8mg,  Myo","Inositol 100 mg & Pyridoxine Hydrochloride 3 mg Tablets, Vitamin D3 600 IU",250.0,179.0
56,D GOOD,Vitamin D3 Oral Solution 60000  IU/5 ml,90.0,64.0
